# Shipments,sZip,sState,cZip,cState,Weight,Charge,preferred_loc,preferred_state,differnece_distance,Estimated $,Savings
11392,N8W0A7,ON,V5A1X8,BC,257,$469.47 ,90630,CA,871,$103.47 ,$366 
12662,N8W0A7,ON,V5K4R1,BC,134,$469.71 ,90630,CA,872,$103.71 ,$366 
10285,N8W0A7,ON,V4K0C2,BC,202,$469.44 ,90630,CA,885,$103.44 ,$366 
12080,N8W0A7,ON,V6V0A3,BC,236,$468.41 ,90630,CA,880,$103.41 ,$365 
12089,N8W0A7,ON,V2X8G1,BC,324,$468.39 ,90630,CA,864,$103.39 ,$365 
13609,N8W0A7,ON,T6X0V1,AB,134,$467.88 ,54942,WI,305,$102.88 ,$365 
10057,N8W0A7,ON,V4N4C1,BC,117,$468.59 ,90630,CA,867,$103.59 ,$365 
12908,N8W0A7,ON,V3M5K3,BC,124,$468.20 ,90630,CA,874,$103.20 ,$365 
12127,N8W0A7,ON,V6A0B3,BC,130,$468.32 ,90630,CA,873,$103.32 ,$365 
10471,N8W0A7,ON,V5G4S1,BC,343,$468.79 ,90630,CA,873,$103.79 ,$365 
9969,N8W0A7,ON,V7C5K1,BC,120,$468.79 ,90630,CA,884,$103.79 ,$365 
11906,N8W0A7,ON,V2X8G1,BC,205,$468.07 ,90630,CA,864,$103.07 ,$365 
12684,N8W0A7,ON,V5G4S4,BC,210,$468.38 ,90630,CA,872,$103.38 ,$365 
11959,N8W0A7,ON,V5A2X4,BC,968,$468.38 ,90630,CA,871,$103.38 ,$365 
9976,N8W0A7,ON,T0J0M0,AB,78,$467.40 ,90630,CA,357,$103.40 ,$364 
12469,N8W0A7,ON,V7A4X5,BC,247,$466.92 ,90630,CA,884,$102.92 ,$364 
10066,N8W0A7,ON,S4R1W5,SK,147,$466.44 ,54942,WI,308,$103.44 ,$363 
12708,N8W0A7,ON,V2X8G1,BC,398,$466.46 ,90630,CA,864,$103.46 ,$363 
12415,N8W0A7,ON,T5J5C6,AB,123,$464.11 ,54942,WI,304,$103.11 ,$361 
13546,N8W0A7,ON,V2X8G1,BC,202,$464.66 ,90630,CA,864,$103.66 ,$361 
