sZip,sState,WeekNumber,Consolidated_data,Weight,Charge,# Shipments
53142,WI,31,FL33025,4583,"$2,690.47 ",4
41048,KY,43,WI53142,8260,"$1,578.36 ",4
41048,KY,21,WA98052,647,"$1,230.89 ",4
41048,KY,34,WA98052,2613,"$2,517.34 ",4
41048,KY,24,TX77340,480,$519.56 ,4
79936,TX,39,KY41048,6173,"$2,403.65 ",4
79936,TX,43,KY41048,5111,"$2,069.00 ",4
79936,TX,46,KY41048,4780,"$2,028.25 ",4
79936,TX,47,KY41048,5200,"$2,181.98 ",4
30071,GA,28,KY41048,976,$547.11 ,4
78501,TX,38,TX78521,8744,$707.16 ,4
38133,TN,35,KY41048,10136,"$1,668.27 ",4
41048,KY,47,TN38118,1531,$513.91 ,4
41048,KY,7,TX75062,7027,"$2,198.50 ",4
41048,KY,30,NY10509,2363,$977.36 ,4
41048,KY,31,NY10509,1536,$748.08 ,4
41048,KY,38,TN37013,3975,$745.90 ,4
N8W0A7,ON,48,ONL0S1J0,1206,$828.29 ,4
41048,KY,24,TX77563,320,$519.56 ,4
41048,KY,30,TX77563,320,$524.40 ,4
41048,KY,27,FL33025,6472,"$2,420.51 ",4
41048,KY,13,FL33025,8310,"$3,030.13 ",4
41048,KY,24,TN37013,2703,$697.27 ,4
41048,KY,20,NY13760,938,"$1,040.87 ",4
41048,KY,30,NY13760,2322,"$2,497.37 ",4
41048,KY,28,TN37013,1646,$897.47 ,4
N8W0A7,ON,37,ONM9W5S6,1338,$754.13 ,4
38133,TN,10,KY41048,4026,$861.65 ,4
41048,KY,29,TN37013,1049,$682.24 ,4
N8W0A7,ON,46,PQH4P1J3,1656,$847.95 ,4
N8W0A7,ON,33,PQH4T2A1,1165,$726.40 ,3
78753,TX,13,KY41048,875,$515.09 ,3
N8W0A7,ON,11,PQH1Y0A2,508,$591.38 ,3
N8W0A7,ON,19,PQH4P1J3,1427,$725.62 ,3
N8W0A7,ON,3,PQH4S1V3,1217,$660.78 ,3
N8W0A7,ON,18,PQH4S1V3,1797,$744.26 ,3
N8W0A7,ON,3,PQH4T2A1,2197,"$1,726.64 ",3
N8W0A7,ON,15,PQH1E5Y7,1172,$862.12 ,3
N8W0A7,ON,27,PQH1E5Y7,517,"$1,083.78 ",3
N8W0A7,ON,28,PQH1E5Y7,390,$799.14 ,3
41048,KY,28,PA18109,901,$535.56 ,3
41048,KY,4,PA19082,635,$928.73 ,3
41048,KY,26,NY13748,811,$372.56 ,3
38133,TN,12,KY41048,12778,"$1,860.41 ",3
38133,TN,5,KY41048,4988,$885.22 ,3
38133,TN,4,KY41048,20432,"$2,536.47 ",3
38133,TN,2,KY41048,2981,$643.48 ,3
78753,TX,35,KY41048,1288,$530.12 ,3
78753,TX,28,KY41048,1125,$595.25 ,3
N8W0A7,ON,51,ONN6N1E4,607,$456.23 ,3
N8W0A7,ON,51,ONM9W5S6,889,$530.11 ,3
N8W0A7,ON,40,ONM9W5S6,1206,$610.67 ,3
41048,KY,42,TN37013,1200,$671.96 ,3
41048,KY,32,TN37013,675,$508.56 ,3
41048,KY,30,TN37013,2443,$580.08 ,3
41048,KY,11,TX75074,1357,$650.48 ,3
41048,KY,44,NY10509,737,$530.81 ,3
41048,KY,7,NY10017,1861,"$1,546.45 ",3
N8W0A7,ON,40,ONL5T1M7,799,$551.07 ,3
53142,WI,35,TX78521,2313,"$1,195.47 ",3
53142,WI,33,TX78521,1612,$927.56 ,3
53142,WI,30,TX78521,994,$610.80 ,3
53142,WI,29,TX78521,1354,$798.01 ,3
53142,WI,18,TX78521,1880,"$1,415.91 ",3
53142,WI,17,TX78521,6327,"$9,661.13 ",3
53142,WI,8,TX78521,1925,"$1,689.32 ",3
53142,WI,7,TX78521,4248,"$2,837.53 ",3
41048,KY,44,CT6611,270,$538.83 ,3
41048,KY,46,CO80129,1305,$786.28 ,3
