Zone,sZip,cZip,CarrierName,Weight,charge_display,estimated_display,Savings
3,41048,41022,FEDEX,2.1,$8.99 ,$8.11 ,$0.88 
3,41048,48084,FEDEX,2,$8.99 ,$8.11 ,$0.88 
3,41048,32303,FEDEX,2,$8.86 ,$8.11 ,$0.75 
3,41048,30024,FEDEX,2,$8.99 ,$8.11 ,$0.88 
3,41048,62249,FEDEX,2.1,$8.99 ,$8.11 ,$0.88 
3,41048,49548,FEDEX,2,$8.99 ,$8.11 ,$0.88 
3,41048,46818,FEDEX,1,$16.40 ,$8.11 ,$8.29 
3,41048,41048,FEDEX,2.1,$8.86 ,$8.11 ,$0.75 
3,41048,27705,FEDEX,2,$8.99 ,$8.11 ,$0.88 
3,41048,91730,FEDEX,2.1,$8.86 ,$8.11 ,$0.75 
3,41048,32212,FEDEX,2.1,$8.99 ,$8.11 ,$0.88 
3,41048,60487,FEDEX,2,$8.86 ,$8.11 ,$0.75 
3,41048,41048,FEDEX,1.8,$8.86 ,$8.11 ,$0.75 
3,41048,59714,FEDEX,2,$8.86 ,$8.83 ,$0.03 
3,41048,91342,FEDEX,1,$16.93 ,$8.11 ,$8.82 
3,41048,85355,FEDEX,1.9,$8.99 ,$8.11 ,$0.88 
3,41048,37076,FEDEX,2,$8.86 ,$8.11 ,$0.75 
3,41048,49370,FEDEX,2,$8.86 ,$8.11 ,$0.75 
3,41048,32724,FEDEX,2,$8.86 ,$8.62 ,$0.24 
3,41048,78213,FEDEX,1.9,$8.99 ,$8.11 ,$0.88 
3,41048,89118,FEDEX,2.1,$9.56 ,$8.11 ,$1.45 
3,41048,55344,FEDEX,2.1,$8.99 ,$8.11 ,$0.88 
3,41048,71023,FEDEX,2,$8.99 ,$8.11 ,$0.88 
3,41048,19343,FEDEX,59,$86.49 ,$49.36 ,$37.13 
3,41048,37185,FEDEX,2.1,$8.86 ,$8.11 ,$0.75 
3,41048,34232,FEDEX,2.1,$8.99 ,$8.11 ,$0.88 
3,41048,41048,FEDEX,2.1,$8.86 ,$8.11 ,$0.75 
2,41048,38127,FEDEX,5,$25.42 ,$25.30 ,$0.12 
3,41048,73701,FEDEX,2.1,$8.86 ,$8.11 ,$0.75 
3,41048,40601,FEDEX,2.1,$8.99 ,$8.11 ,$0.88 
3,41048,85083,FEDEX,4,$14.17 ,$8.11 ,$6.06 
3,41048,61602,FEDEX,2.1,$8.99 ,$8.11 ,$0.88 
3,41048,33762,FEDEX,2.1,$8.86 ,$8.11 ,$0.75 
3,41048,B4H4R5,FEDEX,2,$8.86 ,$8.11 ,$0.75 
3,41048,15238,FEDEX,2.1,$8.99 ,$8.11 ,$0.88 
3,41048,30005,FEDEX,2.1,$8.86 ,$8.11 ,$0.75 
3,41048,46738,FEDEX,1.9,$8.99 ,$8.11 ,$0.88 
3,41048,28303,FEDEX,2.1,$8.99 ,$8.11 ,$0.88 
3,41048,97005,FEDEX,2.1,$8.86 ,$8.11 ,$0.75 
3,41048,32303,FEDEX,2,$8.99 ,$8.11 ,$0.88 
3,41048,98026,FEDEX,1,$16.40 ,$8.11 ,$8.29 
3,41048,55033,FEDEX,1.9,$8.99 ,$8.27 ,$0.72 
3,41048,41048,FEDEX,2.1,$8.99 ,$8.11 ,$0.88 
3,41048,92653,FEDEX,4,$17.26 ,$8.94 ,$8.32 
3,41048,90242,FEDEX,1,$16.93 ,$8.11 ,$8.82 
3,41048,14620,FEDEX,2.1,$8.99 ,$8.11 ,$0.88 
3,41048,61602,FEDEX,2.1,$8.99 ,$8.11 ,$0.88 
3,41048,98188,FEDEX,2.1,$8.86 ,$8.11 ,$0.75 
3,41048,48375,FEDEX,2,$8.99 ,$8.11 ,$0.88 
3,41048,10851,FEDEX,2,$8.99 ,$8.11 ,$0.88 
3,41048,41048,FEDEX,2,$8.99 ,$8.11 ,$0.88 
3,41048,20774,FEDEX,2,$8.86 ,$8.11 ,$0.75 
3,41048,54911,FEDEX,2.1,$8.86 ,$8.11 ,$0.75 
3,41048,12010,FEDEX,2,$8.86 ,$8.11 ,$0.75 
3,41048,37185,FEDEX,1.9,$8.86 ,$8.11 ,$0.75 
3,41048,77058,FEDEX,2,$8.99 ,$8.11 ,$0.88 
3,41048,63026,FEDEX,2,$8.86 ,$8.11 ,$0.75 
3,41048,21220,FEDEX,2.1,$8.99 ,$8.11 ,$0.88 
3,41048,41048,FEDEX,2,$8.99 ,$8.11 ,$0.88 
3,41048,40342,FEDEX,2.2,$8.86 ,$8.11 ,$0.75 
3,41048,41048,FEDEX,2.1,$8.99 ,$8.11 ,$0.88 
3,41048,28528,FEDEX,5.2,$13.87 ,$9.51 ,$4.36 
3,41048,30126,FEDEX,2,$8.99 ,$8.11 ,$0.88 
3,41048,18974,FEDEX,2,$14.17 ,$8.11 ,$6.06 
3,41048,54901,FEDEX,2,$8.99 ,$8.11 ,$0.88 
3,41048,32830,FEDEX,2,$8.99 ,$8.11 ,$0.88 
3,41048,37075,FEDEX,2,$17.93 ,$9.28 ,$8.65 
3,41048,37096,FEDEX,1,$16.40 ,$8.11 ,$8.29 
2,41048,45402,FEDEX,4.1,$9.18 ,$8.11 ,$1.07 
3,41048,80571,FEDEX,2.1,$8.99 ,$8.11 ,$0.88 
3,41048,34232,FEDEX,4,$22.47 ,$8.66 ,$13.81 
3,41048,27410,FEDEX,2,$8.86 ,$8.11 ,$0.75 
3,41048,60950,FEDEX,3,$17.98 ,$8.11 ,$9.87 
3,41048,2571,FEDEX,2.1,$8.99 ,$8.11 ,$0.88 
3,41048,44092,FEDEX,2,$8.99 ,$8.11 ,$0.88 
3,41048,27705,FEDEX,2.1,$8.86 ,$8.11 ,$0.75 
